epsilon,node_capacity_btc,ppm,ppm_basis,ppm_ref,u0,utilization,f_earned_sat,net_income_sat,apy_routing_pct,cost_of_capital_annual_pct,clears_benchmark
0.0,0.1,50.0,Amboss network median (observed),100.0,0.15,0.15,27375.0,-370891.0,-3.7089,2.3715,False
0.0,0.1,100.0,mempool.space network median (observed),100.0,0.15,0.15,54750.0,-351729.0,-3.5173,2.3715,False
0.0,0.1,464.0,Amboss ranked-node median (observed),100.0,0.15,0.15,254040.0,-212226.0,-2.1223,2.3715,False
0.0,0.1,1000.0,assumption,100.0,0.15,0.15,547500.0,-6804.0,-0.068,2.3715,False
0.0,1.0,50.0,Amboss network median (observed),100.0,0.15,0.15,273750.0,-207831.0,-0.2078,2.3715,False
0.0,1.0,100.0,mempool.space network median (observed),100.0,0.15,0.15,547500.0,-16206.0,-0.0162,2.3715,False
0.0,1.0,464.0,Amboss ranked-node median (observed),100.0,0.15,0.15,2540400.0,1378824.0,1.3788,2.3715,False
0.0,1.0,1000.0,assumption,100.0,0.15,0.15,5475000.0,3433044.0,3.433,2.3715,True
0.0,10.0,50.0,Amboss network median (observed),100.0,0.15,0.15,2737500.0,1422771.0,0.1423,2.3715,False
0.0,10.0,100.0,mempool.space network median (observed),100.0,0.15,0.15,5475000.0,3339021.0,0.3339,2.3715,False
0.0,10.0,464.0,Amboss ranked-node median (observed),100.0,0.15,0.15,25404000.0,17289321.0,1.7289,2.3715,False
0.0,10.0,1000.0,assumption,100.0,0.15,0.15,54750000.0,37831521.0,3.7832,2.3715,True
0.5,0.1,50.0,Amboss network median (observed),100.0,0.15,0.212132,38714.0,-362954.0,-3.6295,2.3715,False
0.5,0.1,100.0,mempool.space network median (observed),100.0,0.15,0.15,54750.0,-351729.0,-3.5173,2.3715,False
0.5,0.1,464.0,Amboss ranked-node median (observed),100.0,0.15,0.069636,117935.0,-307499.0,-3.075,2.3715,False
0.5,0.1,1000.0,assumption,100.0,0.15,0.047434,173135.0,-268860.0,-2.6886,2.3715,False
0.5,1.0,50.0,Amboss network median (observed),100.0,0.15,0.212132,387141.0,-128457.0,-0.1285,2.3715,False
0.5,1.0,100.0,mempool.space network median (observed),100.0,0.15,0.15,547500.0,-16206.0,-0.0162,2.3715,False
0.5,1.0,464.0,Amboss ranked-node median (observed),100.0,0.15,0.069636,1179351.0,426090.0,0.4261,2.3715,False
0.5,1.0,1000.0,assumption,100.0,0.15,0.047434,1731347.0,812487.0,0.8125,2.3715,False
