added,channel_count,total_capacity,tor_nodes,clearnet_nodes,unannounced_nodes,clearnet_tor_nodes,date_utc,total_capacity_btc,avg_channel_capacity_sat,interval,snapshot_fetched_at_utc
1694649600,68020,485700280359,10785,2131,1037,1496,2023-09-14T00:00:00Z,4857.00280359,7140551.019685387,3y,2026-09-13T10:19:37Z
1694736000,67891,486012011376,10716,2132,1038,1499,2023-09-15T00:00:00Z,4860.12011376,7158710.453167577,3y,2026-09-13T10:19:37Z
1694822400,67982,486806734699,10723,2135,1041,1501,2023-09-16T00:00:00Z,4868.06734699,7160818.079771115,3y,2026-09-13T10:19:37Z
1694908800,68186,488391071280,10743,2135,1042,1503,2023-09-17T00:00:00Z,4883.9107128,7162629.737482768,3y,2026-09-13T10:19:37Z
1694995200,68134,488625499179,10783,2130,1047,1496,2023-09-18T00:00:00Z,4886.25499179,7171536.959212728,3y,2026-09-13T10:19:37Z
1695081600,68496,490205518331,10863,2137,1050,1504,2023-09-19T00:00:00Z,4902.05518331,7156702.848794091,3y,2026-09-13T10:19:37Z
1695168000,68677,492255438302,10870,2134,1049,1509,2023-09-20T00:00:00Z,4922.55438302,7167689.886017153,3y,2026-09-13T10:19:37Z
1695254400,68723,492259048014,10884,2141,1050,1508,2023-09-21T00:00:00Z,4922.59048014,7162944.6912096385,3y,2026-09-13T10:19:37Z
1695340800,68811,489490785343,10910,2141,1050,1513,2023-09-22T00:00:00Z,4894.90785343,7113554.305895859,3y,2026-09-13T10:19:37Z
1695427200,68866,490177565118,10923,2144,1048,1514,2023-09-23T00:00:00Z,4901.77565118,7117845.745621933,3y,2026-09-13T10:19:37Z
1695513600,67443,476181436850,10854,2145,1052,1507,2023-09-24T00:00:00Z,4761.8143685,7060502.006879884,3y,2026-09-13T10:19:37Z
1695600000,67013,473300545653,10827,2136,1059,1509,2023-09-25T00:00:00Z,4733.00545653,7062816.851252742,3y,2026-09-13T10:19:37Z
1695686400,65869,448528130047,10784,2124,1050,1506,2023-09-26T00:00:00Z,4485.28130047,6809396.378372224,3y,2026-09-13T10:19:37Z
1695772800,64061,445488140726,10499,1963,970,1493,2023-09-27T00:00:00Z,4454.88140726,6954124.049359204,3y,2026-09-13T10:19:37Z
1695859200,64050,447571909176,10479,1961,963,1495,2023-09-28T00:00:00Z,4475.71909176,6987851.821639344,3y,2026-09-13T10:19:37Z
1695945600,63995,449111869009,10455,1958,953,1492,2023-09-29T00:00:00Z,4491.11869009,7017921.228361591,3y,2026-09-13T10:19:37Z
1696032000,63952,450956489592,10441,1950,952,1494,2023-09-30T00:00:00Z,4509.56489592,7051483.762697022,3y,2026-09-13T10:19:37Z
1696118400,63108,450489757729,10253,1848,894,1469,2023-10-01T00:00:00Z,4504.89757729,7138393.828500348,3y,2026-09-13T10:19:37Z
1696204800,62971,477545067153,10134,1846,889,1457,2023-10-02T00:00:00Z,4775.45067153,7583571.281272331,3y,2026-09-13T10:19:37Z
1696291200,63434,502985414812,10138,1838,891,1454,2023-10-03T00:00:00Z,5029.85414812,7929271.602169184,3y,2026-09-13T10:19:37Z
