metric,value,unit,source,data_as_of_utc,snapshot_fetched_at_utc
total_capacity_btc,3794.5151656,BTC,mempool.space lightning/statistics/latest,2026-08-30T00:00:00Z,2026-09-13T15:47:18Z
total_capacity_sat,379451516560.0,sat,mempool.space lightning/statistics/latest,2026-08-30T00:00:00Z,2026-09-13T15:47:18Z
node_count,16237.0,nodes,mempool.space lightning/statistics/latest,2026-08-30T00:00:00Z,2026-09-13T15:47:18Z
channel_count,32674.0,channels,mempool.space lightning/statistics/latest,2026-08-30T00:00:00Z,2026-09-13T15:47:18Z
avg_channel_capacity_sat,11613256.0,sat,mempool.space lightning/statistics/latest,2026-08-30T00:00:00Z,2026-09-13T15:47:18Z
med_channel_capacity_sat,2042066.0,sat,mempool.space lightning/statistics/latest,2026-08-30T00:00:00Z,2026-09-13T15:47:18Z
avg_fee_rate_ppm,824.0,ppm,mempool.space lightning/statistics/latest,2026-08-30T00:00:00Z,2026-09-13T15:47:18Z
med_fee_rate_ppm,100.0,ppm,mempool.space lightning/statistics/latest,2026-08-30T00:00:00Z,2026-09-13T15:47:18Z
avg_base_fee_msat,903.0,msat,mempool.space lightning/statistics/latest,2026-08-30T00:00:00Z,2026-09-13T15:47:18Z
med_base_fee_msat,500.0,msat,mempool.space lightning/statistics/latest,2026-08-30T00:00:00Z,2026-09-13T15:47:18Z
tor_nodes,7978.0,nodes,mempool.space lightning/statistics/latest,2026-08-30T00:00:00Z,2026-09-13T15:47:18Z
clearnet_nodes,4596.0,nodes,mempool.space lightning/statistics/latest,2026-08-30T00:00:00Z,2026-09-13T15:47:18Z
onchain_fee_halfHourFee_sat_per_vb,1.0,sat/vB,mempool.space fees_recommended,2026-09-13T15:47:16Z,2026-09-13T15:47:16Z
btc_usd,77139.0,USD,CoinGecko simple/price,2026-09-13T15:46:00Z,2026-09-13T15:47:25Z
btc_uah,3431206.0,UAH,CoinGecko simple/price,2026-09-13T15:46:00Z,2026-09-13T15:47:25Z
