sat_per_vb,basis,source,node_capacity_btc,ppm,utilization,onchain_amortized_sat,net_income_sat,apy_routing_pct,cost_of_capital_annual_pct,clears_benchmark,break_even_u,break_even_attainable
1.0,observed,mempool.space fees_recommended.halfHourFee,0.1,100.0,0.15,1045.0,-351900.0,-3.519,2.3715,False,2.455481,False
1.0,observed,mempool.space fees_recommended.halfHourFee,0.1,464.0,0.15,1045.0,-212397.0,-2.124,2.3715,False,0.529199,True
1.0,observed,mempool.space fees_recommended.halfHourFee,0.1,1000.0,0.15,1045.0,-6975.0,-0.0698,2.3715,False,0.245548,True
1.0,observed,mempool.space fees_recommended.halfHourFee,1.0,100.0,0.15,10447.0,-16378.0,-0.0164,2.3715,False,1.08459,False
1.0,observed,mempool.space fees_recommended.halfHourFee,1.0,464.0,0.15,10447.0,1378652.0,1.3787,2.3715,False,0.233748,True
1.0,observed,mempool.space fees_recommended.halfHourFee,1.0,1000.0,0.15,10447.0,3432872.0,3.4329,2.3715,True,0.108459,True
1.0,observed,mempool.space fees_recommended.halfHourFee,10.0,100.0,0.15,104469.0,3338850.0,0.3339,2.3715,False,0.947501,True
1.0,observed,mempool.space fees_recommended.halfHourFee,10.0,464.0,0.15,104469.0,17289150.0,1.7289,2.3715,False,0.204203,True
1.0,observed,mempool.space fees_recommended.halfHourFee,10.0,1000.0,0.15,104469.0,37831350.0,3.7831,2.3715,True,0.09475,True
50.0,stress,config onchain_sensitivity.sat_per_vb_levels,0.1,100.0,0.15,52235.0,-403090.0,-4.0309,2.3715,False,2.655833,False
50.0,stress,config onchain_sensitivity.sat_per_vb_levels,0.1,464.0,0.15,52235.0,-263587.0,-2.6359,2.3715,False,0.572378,True
50.0,stress,config onchain_sensitivity.sat_per_vb_levels,0.1,1000.0,0.15,52235.0,-58165.0,-0.5817,2.3715,False,0.265583,True
50.0,stress,config onchain_sensitivity.sat_per_vb_levels,1.0,100.0,0.15,522347.0,-528278.0,-0.5283,2.3715,False,1.284942,False
50.0,stress,config onchain_sensitivity.sat_per_vb_levels,1.0,464.0,0.15,522347.0,866752.0,0.8668,2.3715,False,0.276927,True
50.0,stress,config onchain_sensitivity.sat_per_vb_levels,1.0,1000.0,0.15,522347.0,2920972.0,2.921,2.3715,True,0.128494,True
50.0,stress,config onchain_sensitivity.sat_per_vb_levels,10.0,100.0,0.15,5223468.0,-1780149.0,-0.178,2.3715,False,1.147853,False
50.0,stress,config onchain_sensitivity.sat_per_vb_levels,10.0,464.0,0.15,5223468.0,12170151.0,1.217,2.3715,False,0.247382,True
50.0,stress,config onchain_sensitivity.sat_per_vb_levels,10.0,1000.0,0.15,5223468.0,32712351.0,3.2712,2.3715,True,0.114785,True
200.0,stress,config onchain_sensitivity.sat_per_vb_levels,0.1,100.0,0.15,208939.0,-559794.0,-5.5979,2.3715,False,3.269157,False
200.0,stress,config onchain_sensitivity.sat_per_vb_levels,0.1,464.0,0.15,208939.0,-420291.0,-4.2029,2.3715,False,0.70456,True
200.0,stress,config onchain_sensitivity.sat_per_vb_levels,0.1,1000.0,0.15,208939.0,-214869.0,-2.1487,2.3715,False,0.326916,True
200.0,stress,config onchain_sensitivity.sat_per_vb_levels,1.0,100.0,0.15,2089387.0,-2095318.0,-2.0953,2.3715,False,1.898265,False
200.0,stress,config onchain_sensitivity.sat_per_vb_levels,1.0,464.0,0.15,2089387.0,-700288.0,-0.7003,2.3715,False,0.409109,True
200.0,stress,config onchain_sensitivity.sat_per_vb_levels,1.0,1000.0,0.15,2089387.0,1353932.0,1.3539,2.3715,False,0.189827,True
200.0,stress,config onchain_sensitivity.sat_per_vb_levels,10.0,100.0,0.15,20893873.0,-17450553.0,-1.7451,2.3715,False,1.761176,False
200.0,stress,config onchain_sensitivity.sat_per_vb_levels,10.0,464.0,0.15,20893873.0,-3500253.0,-0.35,2.3715,False,0.379564,True
200.0,stress,config onchain_sensitivity.sat_per_vb_levels,10.0,1000.0,0.15,20893873.0,17041947.0,1.7042,2.3715,False,0.176118,True
