node_capacity_btc,ppm,utilization,f_earned_sat,net_income_sat,apy_routing_pct,cost_of_capital_annual_pct,cost_of_capital_source,break_even_u,break_even_attainable
1.0,100.0,0.0,0.0,-401246.0,-0.4012,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.05,182500.0,-273496.0,-0.2735,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.1,365000.0,-145746.0,-0.1457,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.15,547500.0,-17996.0,-0.018,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.2,730000.0,109754.0,0.1098,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.25,912500.0,237504.0,0.2375,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.3,1095000.0,365254.0,0.3653,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.35,1277500.0,493004.0,0.493,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.4,1460000.0,620754.0,0.6208,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.45,1642500.0,748504.0,0.7485,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.5,1825000.0,876254.0,0.8763,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.55,2007500.0,1004004.0,1.004,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.6,2190000.0,1131754.0,1.1318,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.65,2372500.0,1259504.0,1.2595,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.7,2555000.0,1387254.0,1.3873,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.75,2737500.0,1515004.0,1.515,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.8,2920000.0,1642754.0,1.6428,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.85,3102500.0,1770504.0,1.7705,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.9,3285000.0,1898254.0,1.8983,2.3715,magma_orders_median,1.085223,False
1.0,100.0,0.95,3467500.0,2026004.0,2.026,2.3715,magma_orders_median,1.085223,False
1.0,100.0,1.0,3650000.0,2153754.0,2.1538,2.3715,magma_orders_median,1.085223,False
1.0,250.0,0.0,0.0,-401246.0,-0.4012,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.05,456250.0,-81871.0,-0.0819,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.1,912500.0,237504.0,0.2375,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.15,1368750.0,556879.0,0.5569,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.2,1825000.0,876254.0,0.8763,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.25,2281250.0,1195629.0,1.1956,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.3,2737500.0,1515004.0,1.515,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.35,3193750.0,1834379.0,1.8344,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.4,3650000.0,2153754.0,2.1538,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.45,4106250.0,2473129.0,2.4731,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.5,4562500.0,2792504.0,2.7925,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.55,5018750.0,3111879.0,3.1119,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.6,5475000.0,3431254.0,3.4313,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.65,5931250.0,3750629.0,3.7506,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.7,6387500.0,4070004.0,4.07,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.75,6843750.0,4389379.0,4.3894,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.8,7300000.0,4708754.0,4.7088,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.85,7756250.0,5028129.0,5.0281,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.9,8212500.0,5347504.0,5.3475,2.3715,magma_orders_median,0.434089,True
1.0,250.0,0.95,8668750.0,5666879.0,5.6669,2.3715,magma_orders_median,0.434089,True
1.0,250.0,1.0,9125000.0,5986254.0,5.9863,2.3715,magma_orders_median,0.434089,True
1.0,500.0,0.0,0.0,-401246.0,-0.4012,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.05,912500.0,237504.0,0.2375,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.1,1825000.0,876254.0,0.8763,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.15,2737500.0,1515004.0,1.515,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.2,3650000.0,2153754.0,2.1538,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.25,4562500.0,2792504.0,2.7925,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.3,5475000.0,3431254.0,3.4313,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.35,6387500.0,4070004.0,4.07,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.4,7300000.0,4708754.0,4.7088,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.45,8212500.0,5347504.0,5.3475,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.5,9125000.0,5986254.0,5.9863,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.55,10037500.0,6625004.0,6.625,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.6,10950000.0,7263754.0,7.2638,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.65,11862500.0,7902504.0,7.9025,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.7,12775000.0,8541254.0,8.5413,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.75,13687500.0,9180004.0,9.18,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.8,14600000.0,9818754.0,9.8188,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.85,15512500.0,10457504.0,10.4575,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.9,16425000.0,11096254.0,11.0963,2.3715,magma_orders_median,0.217045,True
1.0,500.0,0.95,17337500.0,11735004.0,11.735,2.3715,magma_orders_median,0.217045,True
1.0,500.0,1.0,18250000.0,12373754.0,12.3738,2.3715,magma_orders_median,0.217045,True
1.0,1000.0,0.0,0.0,-401246.0,-0.4012,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.05,1825000.0,876254.0,0.8763,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.1,3650000.0,2153754.0,2.1538,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.15,5475000.0,3431254.0,3.4313,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.2,7300000.0,4708754.0,4.7088,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.25,9125000.0,5986254.0,5.9863,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.3,10950000.0,7263754.0,7.2638,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.35,12775000.0,8541254.0,8.5413,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.4,14600000.0,9818754.0,9.8188,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.45,16425000.0,11096254.0,11.0963,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.5,18250000.0,12373754.0,12.3738,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.55,20075000.0,13651254.0,13.6513,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.6,21900000.0,14928754.0,14.9288,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.65,23725000.0,16206254.0,16.2063,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.7,25550000.0,17483754.0,17.4838,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.75,27375000.0,18761254.0,18.7613,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.8,29200000.0,20038754.0,20.0388,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.85,31025000.0,21316254.0,21.3163,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.9,32850000.0,22593754.0,22.5938,2.3715,magma_orders_median,0.108522,True
1.0,1000.0,0.95,34675000.0,23871254.0,23.8713,2.3715,magma_orders_median,0.108522,True
