source,observed_rate_annual_pct,basis,snapshot_date,note
own_btc_opportunity,2.3715,"OBSERVED, taken from magma_orders_median: executed Magma leases, status FINISHED/FINISHED_EARLY, 2025-01-01..2026-09-11, n=3265, Amboss LNR as returned (already annualised over ~52,560 blocks)",2026-09-13,"the return forgone on self-funded BTC, measured as what the same coins would earn leased out on Magma (magma_orders_median). Set cost_of_capital.own_btc_opportunity.override_annual_pct to assert a different figure."
magma_offers_p25,1.7529,"Magma open SELL offers, n=95, priced at a 5,000,000 sat reference channel (clamped into each offer's own min/max size) as base_fee + size*fee_rate/1e6 over min_block_length, annualised on a 52,560-block year",2026-09-13,"ask side: what sellers quote, not what buyers paid. Excludes the Amboss platform fee (amboss_fee_rate), whose unit is not documented, so this understates the buyer's all-in cost."
magma_offers_median,3.7191,"Magma open SELL offers, n=95, priced at a 5,000,000 sat reference channel (clamped into each offer's own min/max size) as base_fee + size*fee_rate/1e6 over min_block_length, annualised on a 52,560-block year",2026-09-13,"ask side: what sellers quote, not what buyers paid. Excludes the Amboss platform fee (amboss_fee_rate), whose unit is not documented, so this understates the buyer's all-in cost."
magma_offers_p75,3.9708,"Magma open SELL offers, n=95, priced at a 5,000,000 sat reference channel (clamped into each offer's own min/max size) as base_fee + size*fee_rate/1e6 over min_block_length, annualised on a 52,560-block year",2026-09-13,"ask side: what sellers quote, not what buyers paid. Excludes the Amboss platform fee (amboss_fee_rate), whose unit is not documented, so this understates the buyer's all-in cost."
magma_offers_p90,12.0255,"Magma open SELL offers, n=95, priced at a 5,000,000 sat reference channel (clamped into each offer's own min/max size) as base_fee + size*fee_rate/1e6 over min_block_length, annualised on a 52,560-block year",2026-09-13,"ask side: what sellers quote, not what buyers paid. Excludes the Amboss platform fee (amboss_fee_rate), whose unit is not documented, so this understates the buyer's all-in cost."
magma_orders_p25,1.7367,"executed Magma leases, status FINISHED/FINISHED_EARLY, 2025-01-01..2026-09-11, n=3265, Amboss LNR as returned (already annualised over ~52,560 blocks)",2026-09-13,trade side: rates on leases that actually executed.
magma_orders_median,2.3715,"executed Magma leases, status FINISHED/FINISHED_EARLY, 2025-01-01..2026-09-11, n=3265, Amboss LNR as returned (already annualised over ~52,560 blocks)",2026-09-13,trade side: rates on leases that actually executed.
magma_orders_p75,4.4811,"executed Magma leases, status FINISHED/FINISHED_EARLY, 2025-01-01..2026-09-11, n=3265, Amboss LNR as returned (already annualised over ~52,560 blocks)",2026-09-13,trade side: rates on leases that actually executed.
magma_orders_p90,5.2532,"executed Magma leases, status FINISHED/FINISHED_EARLY, 2025-01-01..2026-09-11, n=3265, Amboss LNR as returned (already annualised over ~52,560 blocks)",2026-09-13,trade side: rates on leases that actually executed.
amboss_lnr_index_latest,3.9498,"Amboss LNR aggregate series, period MONTHLY, newest point 2026-09-01 of 45",2026-09-13,Amboss's own published benchmark; reported for comparison.
