node_capacity_btc,ppm,ppm_basis,utilization,f_earned_sat,f_rebalancing_sat,onchain_amortized_sat,opex_sat,net_income_sat,apy_routing_pct,cost_of_capital_annual_pct,break_even_u,break_even_attainable
0.1,50.0,Amboss network median (observed),0.15,27375.0,8212.0,1045.0,389009.0,-370891.0,-3.7089,2.3715,4.909619,False
0.1,100.0,mempool.space network median (observed),0.15,54750.0,16425.0,1045.0,389009.0,-351729.0,-3.5173,2.3715,2.45481,False
0.1,464.0,Amboss ranked-node median (observed),0.15,254040.0,76212.0,1045.0,389009.0,-212226.0,-2.1223,2.3715,0.529054,True
0.1,1000.0,assumption,0.15,547500.0,164250.0,1045.0,389009.0,-6804.0,-0.068,2.3715,0.245481,True
1.0,50.0,Amboss network median (observed),0.15,273750.0,82125.0,10447.0,389009.0,-207831.0,-0.2078,2.3715,2.169046,False
1.0,100.0,mempool.space network median (observed),0.15,547500.0,164250.0,10447.0,389009.0,-16206.0,-0.0162,2.3715,1.084523,False
1.0,464.0,Amboss ranked-node median (observed),0.15,2540400.0,762120.0,10447.0,389009.0,1378824.0,1.3788,2.3715,0.233733,True
1.0,1000.0,assumption,0.15,5475000.0,1642500.0,10447.0,389009.0,3433044.0,3.433,2.3715,0.108452,True
10.0,50.0,Amboss network median (observed),0.15,2737500.0,821250.0,104469.0,389009.0,1422771.0,0.1423,2.3715,1.894989,False
10.0,100.0,mempool.space network median (observed),0.15,5475000.0,1642500.0,104469.0,389009.0,3339021.0,0.3339,2.3715,0.947494,True
10.0,464.0,Amboss ranked-node median (observed),0.15,25404000.0,7621200.0,104469.0,389009.0,17289321.0,1.7289,2.3715,0.204201,True
10.0,1000.0,assumption,0.15,54750000.0,16425000.0,104469.0,389009.0,37831521.0,3.7832,2.3715,0.094749,True
