ppm,utilization,apy_routing_pct,cost_of_capital_annual_pct,break_even_u,node_capacity_btc,cost_of_capital_source
100.0,0.0,-0.399355,2.3715,1.084483,1.0,magma_orders_median
100.0,0.05,-0.271605,2.3715,1.084483,1.0,magma_orders_median
100.0,0.1,-0.143855,2.3715,1.084483,1.0,magma_orders_median
100.0,0.15,-0.016105,2.3715,1.084483,1.0,magma_orders_median
100.0,0.2,0.111645,2.3715,1.084483,1.0,magma_orders_median
100.0,0.25,0.239395,2.3715,1.084483,1.0,magma_orders_median
100.0,0.3,0.367145,2.3715,1.084483,1.0,magma_orders_median
100.0,0.35,0.494895,2.3715,1.084483,1.0,magma_orders_median
100.0,0.4,0.622645,2.3715,1.084483,1.0,magma_orders_median
100.0,0.45,0.750395,2.3715,1.084483,1.0,magma_orders_median
100.0,0.5,0.878145,2.3715,1.084483,1.0,magma_orders_median
100.0,0.55,1.005895,2.3715,1.084483,1.0,magma_orders_median
100.0,0.6,1.133645,2.3715,1.084483,1.0,magma_orders_median
100.0,0.65,1.261395,2.3715,1.084483,1.0,magma_orders_median
100.0,0.7,1.389145,2.3715,1.084483,1.0,magma_orders_median
100.0,0.75,1.516895,2.3715,1.084483,1.0,magma_orders_median
100.0,0.8,1.644645,2.3715,1.084483,1.0,magma_orders_median
100.0,0.85,1.772395,2.3715,1.084483,1.0,magma_orders_median
100.0,0.9,1.900145,2.3715,1.084483,1.0,magma_orders_median
100.0,0.95,2.027895,2.3715,1.084483,1.0,magma_orders_median
100.0,1.0,2.155645,2.3715,1.084483,1.0,magma_orders_median
500.0,0.0,-0.399355,2.3715,0.216897,1.0,magma_orders_median
500.0,0.05,0.239395,2.3715,0.216897,1.0,magma_orders_median
500.0,0.1,0.878145,2.3715,0.216897,1.0,magma_orders_median
500.0,0.15,1.516895,2.3715,0.216897,1.0,magma_orders_median
500.0,0.2,2.155645,2.3715,0.216897,1.0,magma_orders_median
500.0,0.25,2.794395,2.3715,0.216897,1.0,magma_orders_median
500.0,0.3,3.433145,2.3715,0.216897,1.0,magma_orders_median
500.0,0.35,4.071895,2.3715,0.216897,1.0,magma_orders_median
500.0,0.4,4.710645,2.3715,0.216897,1.0,magma_orders_median
500.0,0.45,5.349395,2.3715,0.216897,1.0,magma_orders_median
500.0,0.5,5.988145,2.3715,0.216897,1.0,magma_orders_median
500.0,0.55,6.626895,2.3715,0.216897,1.0,magma_orders_median
500.0,0.6,7.265645,2.3715,0.216897,1.0,magma_orders_median
500.0,0.65,7.904395,2.3715,0.216897,1.0,magma_orders_median
500.0,0.7,8.543145,2.3715,0.216897,1.0,magma_orders_median
500.0,0.75,9.181895,2.3715,0.216897,1.0,magma_orders_median
500.0,0.8,9.820645,2.3715,0.216897,1.0,magma_orders_median
500.0,0.85,10.459395,2.3715,0.216897,1.0,magma_orders_median
500.0,0.9,11.098145,2.3715,0.216897,1.0,magma_orders_median
500.0,0.95,11.736895,2.3715,0.216897,1.0,magma_orders_median
500.0,1.0,12.375645,2.3715,0.216897,1.0,magma_orders_median
1000.0,0.0,-0.399355,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.05,0.878145,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.1,2.155645,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.15,3.433145,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.2,4.710645,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.25,5.988145,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.3,7.265645,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.35,8.543145,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.4,9.820645,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.45,11.098145,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.5,12.375645,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.55,13.653145,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.6,14.930645,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.65,16.208145,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.7,17.485645,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.75,18.763145,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.8,20.040645,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.85,21.318145,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.9,22.595645,2.3715,0.108448,1.0,magma_orders_median
1000.0,0.95,23.873145,2.3715,0.108448,1.0,magma_orders_median
1000.0,1.0,25.150645,2.3715,0.108448,1.0,magma_orders_median
2000.0,0.0,-0.399355,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.05,2.155645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.1,4.710645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.15,7.265645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.2,9.820645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.25,12.375645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.3,14.930645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.35,17.485645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.4,20.040645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.45,22.595645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.5,25.150645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.55,27.705645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.6,30.260645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.65,32.815645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.7,35.370645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.75,37.925645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.8,40.480645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.85,43.035645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.9,45.590645,2.3715,0.054224,1.0,magma_orders_median
2000.0,0.95,48.145645,2.3715,0.054224,1.0,magma_orders_median
2000.0,1.0,50.700645,2.3715,0.054224,1.0,magma_orders_median
